formula,formulaA,formulaB,stable
Kr0.5 Au0.5,Kr,Au,0
Cs0.5 Au0.5,Cs,Au,1
Sr0.5 Au0.5,Sr,Au,1
Eu0.5 Au0.5,Eu,Au,0
Yb0.5 Au0.5,Yb,Au,1
Br0.5 Au0.5,Br,Au,1
Na0.5 Au0.5,Na,Au,0
La0.5 Au0.5,La,Au,0
Ar0.5 Au0.5,Ar,Au,0
Xe0.5 Au0.5,Xe,Au,0
Bi0.5 Au0.5,Bi,Au,0
Sm0.5 Au0.5,Sm,Au,1
Th0.5 Au0.5,Th,Au,0
Dy0.5 Au0.5,Dy,Au,1
Pb0.5 Au0.5,Pb,Au,0
Lu0.5 Au0.5,Lu,Au,1
Se0.5 Au0.5,Se,Au,1
S0.5 Au0.5,S,Au,0
Sn0.5 Au0.5,Sn,Au,1
Sc0.5 Au0.5,Sc,Au,1
Pa0.5 Au0.5,Pa,Au,0
Ge0.5 Au0.5,Ge,Au,0
Cd0.5 Au0.5,Cd,Au,1
Li0.5 Au0.5,Li,Au,0
Ga0.5 Au0.5,Ga,Au,1
Np0.5 Au0.5,Np,Au,0
Nb0.5 Au0.5,Nb,Au,0
Mo0.5 Au0.5,Mo,Au,0
Re0.5 Au0.5,Re,Au,0
Ir0.5 Au0.5,Ir,Au,0
Os0.5 Au0.5,Os,Au,0
V0.5 Au0.5,V,Au,0
Ru0.5 Au0.5,Ru,Au,0
Mn0.5 Au0.5,Mn,Au,0
Cu0.5 Au0.5,Cu,Au,1
Fe0.5 Au0.5,Fe,Au,0
Co0.5 Au0.5,Co,Au,0
Ni0.5 Au0.5,Ni,Au,0
Be0.5 Au0.5,Be,Au,1
B0.5 Au0.5,B,Au,0
Cs0.5 Al0.5,Cs,Al,0
K0.5 Al0.5,K,Al,0
Sr0.5 Al0.5,Sr,Al,1
Yb0.5 Al0.5,Yb,Al,0
Ca0.5 Al0.5,Ca,Al,0
I0.5 Al0.5,I,Al,0
Na0.5 Al0.5,Na,Al,0
La0.5 Al0.5,La,Al,1
Ac0.5 Al0.5,Ac,Al,0
Xe0.5 Al0.5,Xe,Al,0
Pr0.5 Al0.5,Pr,Al,1
Nd0.5 Al0.5,Nd,Al,1
Sm0.5 Al0.5,Sm,Al,1
Te0.5 Al0.5,Te,Al,0
Gd0.5 Al0.5,Gd,Al,0
Y0.5 Al0.5,Y,Al,0
Th0.5 Al0.5,Th,Al,0
Ho0.5 Al0.5,Ho,Al,0
Er0.5 Al0.5,Er,Al,0
Sb0.5 Al0.5,Sb,Al,1
Tm0.5 Al0.5,Tm,Al,1
P0.5 Al0.5,P,Al,1
Se0.5 Al0.5,Se,Al,0
In0.5 Al0.5,In,Al,0
Pa0.5 Al0.5,Pa,Al,0
Zr0.5 Al0.5,Zr,Al,0
Mg0.5 Al0.5,Mg,Al,0
As0.5 Al0.5,As,Al,1
Cd0.5 Al0.5,Cd,Al,0
Li0.5 Al0.5,Li,Al,1
Ga0.5 Al0.5,Ga,Al,0
Ti0.5 Al0.5,Ti,Al,1
Ag0.5 Al0.5,Ag,Al,0
Au0.5 Al0.5,Au,Al,1
Pt0.5 Al0.5,Pt,Al,1
Re0.5 Al0.5,Re,Al,0
Ir0.5 Al0.5,Ir,Al,1
V0.5 Al0.5,V,Al,0
Rh0.5 Al0.5,Rh,Al,1
Ru0.5 Al0.5,Ru,Al,1
Mn0.5 Al0.5,Mn,Al,1
Ni0.5 Al0.5,Ni,Al,1
He0.5 W0.5,He,W,0
I0.5 W0.5,I,W,0
Br0.5 W0.5,Br,W,0
La0.5 W0.5,La,W,0
Ac0.5 W0.5,Ac,W,0
Sm0.5 W0.5,Sm,W,0
Y0.5 W0.5,Y,W,0
Ho0.5 W0.5,Ho,W,0
Tm0.5 W0.5,Tm,W,0
Lu0.5 W0.5,Lu,W,0
P0.5 W0.5,P,W,1
Se0.5 W0.5,Se,W,0
In0.5 W0.5,In,W,0
Pa0.5 W0.5,Pa,W,0
Cd0.5 W0.5,Cd,W,0
Li0.5 W0.5,Li,W,0
U0.5 W0.5,U,W,0
Np0.5 W0.5,Np,W,0
Ta0.5 W0.5,Ta,W,0
Au0.5 W0.5,Au,W,0
Al0.5 W0.5,Al,W,0
Mo0.5 W0.5,Mo,W,0
Pt0.5 W0.5,Pt,W,0
Pd0.5 W0.5,Pd,W,0
Os0.5 W0.5,Os,W,0
Ru0.5 W0.5,Ru,W,0
Mn0.5 W0.5,Mn,W,0
Cu0.5 W0.5,Cu,W,0
Ni0.5 W0.5,Ni,W,0
B0.5 W0.5,B,W,1
Ne0.5 Mo0.5,Ne,Mo,0
K0.5 Mo0.5,K,Mo,0
Ba0.5 Mo0.5,Ba,Mo,0
Sr0.5 Mo0.5,Sr,Mo,0
Yb0.5 Mo0.5,Yb,Mo,0
Br0.5 Mo0.5,Br,Mo,0
La0.5 Mo0.5,La,Mo,0
Ac0.5 Mo0.5,Ac,Mo,0
Gd0.5 Mo0.5,Gd,Mo,0
Ho0.5 Mo0.5,Ho,Mo,0
Tm0.5 Mo0.5,Tm,Mo,0
P0.5 Mo0.5,P,Mo,1
In0.5 Mo0.5,In,Mo,0
Pa0.5 Mo0.5,Pa,Mo,0
Zr0.5 Mo0.5,Zr,Mo,0
As0.5 Mo0.5,As,Mo,0
Si0.5 Mo0.5,Si,Mo,0
Ga0.5 Mo0.5,Ga,Mo,0
Nb0.5 Mo0.5,Nb,Mo,0
Al0.5 Mo0.5,Al,Mo,0
Pd0.5 Mo0.5,Pd,Mo,0
Rh0.5 Mo0.5,Rh,Mo,1
Mn0.5 Mo0.5,Mn,Mo,0
Cr0.5 Mo0.5,Cr,Mo,0
Co0.5 Mo0.5,Co,Mo,0
Ni0.5 Mo0.5,Ni,Mo,0
C0.5 Mo0.5,C,Mo,0
Ne0.5 Pt0.5,Ne,Pt,0
Kr0.5 Pt0.5,Kr,Pt,0
K0.5 Pt0.5,K,Pt,0
Ba0.5 Pt0.5,Ba,Pt,1
Na0.5 Pt0.5,Na,Pt,0
La0.5 Pt0.5,La,Pt,0
Pr0.5 Pt0.5,Pr,Pt,1
Sm0.5 Pt0.5,Sm,Pt,0
Y0.5 Pt0.5,Y,Pt,0
Ho0.5 Pt0.5,Ho,Pt,0
Tl0.5 Pt0.5,Tl,Pt,0
Ge0.5 Pt0.5,Ge,Pt,1
As0.5 Pt0.5,As,Pt,0
Li0.5 Pt0.5,Li,Pt,1
U0.5 Pt0.5,U,Pt,1
Ti0.5 Pt0.5,Ti,Pt,0
Mo0.5 Pt0.5,Mo,Pt,0
Tc0.5 Pt0.5,Tc,Pt,0
V0.5 Pt0.5,V,Pt,1
Mn0.5 Pt0.5,Mn,Pt,1
Cr0.5 Pt0.5,Cr,Pt,0
Ni0.5 Pt0.5,Ni,Pt,1
C0.5 Pt0.5,C,Pt,0
He0.5 Zn0.5,He,Zn,0
Ba0.5 Zn0.5,Ba,Zn,1
Na0.5 Zn0.5,Na,Zn,0
Ac0.5 Zn0.5,Ac,Zn,0
Pm0.5 Zn0.5,Pm,Zn,0
Y0.5 Zn0.5,Y,Zn,1
Tb0.5 Zn0.5,Tb,Zn,1
Er0.5 Zn0.5,Er,Zn,1
Sb0.5 Zn0.5,Sb,Zn,1
Pa0.5 Zn0.5,Pa,Zn,0
Hg0.5 Zn0.5,Hg,Zn,0
Zr0.5 Zn0.5,Zr,Zn,1
As0.5 Zn0.5,As,Zn,0
Si0.5 Zn0.5,Si,Zn,0
Np0.5 Zn0.5,Np,Zn,0
Nb0.5 Zn0.5,Nb,Zn,0
Ag0.5 Zn0.5,Ag,Zn,0
Au0.5 Zn0.5,Au,Zn,1
W0.5 Zn0.5,W,Zn,0
Mo0.5 Zn0.5,Mo,Zn,0
Pd0.5 Zn0.5,Pd,Zn,1
V0.5 Zn0.5,V,Zn,0
Ru0.5 Zn0.5,Ru,Zn,0
Mn0.5 Zn0.5,Mn,Zn,0
Cu0.5 Zn0.5,Cu,Zn,0
Co0.5 Zn0.5,Co,Zn,0
C0.5 Zn0.5,C,Zn,0
Kr0.5 Re0.5,Kr,Re,0
Cs0.5 Re0.5,Cs,Re,0
Rb0.5 Re0.5,Rb,Re,0
K0.5 Re0.5,K,Re,0
Yb0.5 Re0.5,Yb,Re,0
I0.5 Re0.5,I,Re,0
La0.5 Re0.5,La,Re,0
Ac0.5 Re0.5,Ac,Re,0
Ar0.5 Re0.5,Ar,Re,0
Ce0.5 Re0.5,Ce,Re,0
Sm0.5 Re0.5,Sm,Re,0
Te0.5 Re0.5,Te,Re,0
Gd0.5 Re0.5,Gd,Re,0
Y0.5 Re0.5,Y,Re,0
Dy0.5 Re0.5,Dy,Re,0
Er0.5 Re0.5,Er,Re,0
Tl0.5 Re0.5,Tl,Re,0
Hg0.5 Re0.5,Hg,Re,0
Zr0.5 Re0.5,Zr,Re,1
Mg0.5 Re0.5,Mg,Re,0
Cd0.5 Re0.5,Cd,Re,0
Ga0.5 Re0.5,Ga,Re,0
Np0.5 Re0.5,Np,Re,0
Nb0.5 Re0.5,Nb,Re,0
Ti0.5 Re0.5,Ti,Re,1
W0.5 Re0.5,W,Re,0
Mo0.5 Re0.5,Mo,Re,0
Pt0.5 Re0.5,Pt,Re,0
Os0.5 Re0.5,Os,Re,0
V0.5 Re0.5,V,Re,0
Ru0.5 Re0.5,Ru,Re,0
Cr0.5 Re0.5,Cr,Re,0
Fe0.5 Re0.5,Fe,Re,0
Ni0.5 Re0.5,Ni,Re,0
C0.5 Re0.5,C,Re,0
Be0.5 Re0.5,Be,Re,0
B0.5 Re0.5,B,Re,0
Ne0.5 Pd0.5,Ne,Pd,0
Kr0.5 Pd0.5,Kr,Pd,0
Rb0.5 Pd0.5,Rb,Pd,0
Ba0.5 Pd0.5,Ba,Pd,0
Sr0.5 Pd0.5,Sr,Pd,0
Eu0.5 Pd0.5,Eu,Pd,0
Ac0.5 Pd0.5,Ac,Pd,0
Ar0.5 Pd0.5,Ar,Pd,0
Bi0.5 Pd0.5,Bi,Pd,1
Ce0.5 Pd0.5,Ce,Pd,0
Nd0.5 Pd0.5,Nd,Pd,0
Gd0.5 Pd0.5,Gd,Pd,1
Th0.5 Pd0.5,Th,Pd,1
Tb0.5 Pd0.5,Tb,Pd,0
Er0.5 Pd0.5,Er,Pd,1
Sb0.5 Pd0.5,Sb,Pd,1
Lu0.5 Pd0.5,Lu,Pd,1
P0.5 Pd0.5,P,Pd,0
Se0.5 Pd0.5,Se,Pd,1
In0.5 Pd0.5,In,Pd,0
Pa0.5 Pd0.5,Pa,Pd,0
Hg0.5 Pd0.5,Hg,Pd,1
Mg0.5 Pd0.5,Mg,Pd,1
Si0.5 Pd0.5,Si,Pd,1
Ta0.5 Pd0.5,Ta,Pd,0
Ag0.5 Pd0.5,Ag,Pd,0
Au0.5 Pd0.5,Au,Pd,0
Al0.5 Pd0.5,Al,Pd,1
Pt0.5 Pd0.5,Pt,Pd,0
Ir0.5 Pd0.5,Ir,Pd,0
V0.5 Pd0.5,V,Pd,0
Rh0.5 Pd0.5,Rh,Pd,0
C0.5 Pd0.5,C,Pd,0
Be0.5 Pd0.5,Be,Pd,1
He0.5 Tc0.5,He,Tc,0
K0.5 Tc0.5,K,Tc,0
Xe0.5 Tc0.5,Xe,Tc,0
Nd0.5 Tc0.5,Nd,Tc,0
Sm0.5 Tc0.5,Sm,Tc,0
Dy0.5 Tc0.5,Dy,Tc,0
Pb0.5 Tc0.5,Pb,Tc,0
Lu0.5 Tc0.5,Lu,Tc,0
Se0.5 Tc0.5,Se,Tc,0
Sc0.5 Tc0.5,Sc,Tc,0
Ge0.5 Tc0.5,Ge,Tc,0
As0.5 Tc0.5,As,Tc,0
U0.5 Tc0.5,U,Tc,0
Si0.5 Tc0.5,Si,Tc,0
Au0.5 Tc0.5,Au,Tc,0
W0.5 Tc0.5,W,Tc,0
Mo0.5 Tc0.5,Mo,Tc,0
Re0.5 Tc0.5,Re,Tc,0
V0.5 Tc0.5,V,Tc,1
Rh0.5 Tc0.5,Rh,Tc,0
Cr0.5 Tc0.5,Cr,Tc,0
Cu0.5 Tc0.5,Cu,Tc,0
Ni0.5 Tc0.5,Ni,Tc,0
C0.5 Tc0.5,C,Tc,0
Ne0.5 Ir0.5,Ne,Ir,0
Kr0.5 Ir0.5,Kr,Ir,0
Rb0.5 Ir0.5,Rb,Ir,0
Ba0.5 Ir0.5,Ba,Ir,0
Yb0.5 Ir0.5,Yb,Ir,0
Ca0.5 Ir0.5,Ca,Ir,0
Br0.5 Ir0.5,Br,Ir,0
Ac0.5 Ir0.5,Ac,Ir,0
Pr0.5 Ir0.5,Pr,Ir,0
Nd0.5 Ir0.5,Nd,Ir,0
Pm0.5 Ir0.5,Pm,Ir,0
Y0.5 Ir0.5,Y,Ir,1
Tb0.5 Ir0.5,Tb,Ir,0
Ho0.5 Ir0.5,Ho,Ir,1
Lu0.5 Ir0.5,Lu,Ir,1
Se0.5 Ir0.5,Se,Ir,0
S0.5 Ir0.5,S,Ir,0
In0.5 Ir0.5,In,Ir,0
Pa0.5 Ir0.5,Pa,Ir,0
Hg0.5 Ir0.5,Hg,Ir,0
Zr0.5 Ir0.5,Zr,Ir,1
Mg0.5 Ir0.5,Mg,Ir,1
Ge0.5 Ir0.5,Ge,Ir,1
Cd0.5 Ir0.5,Cd,Ir,0
Ga0.5 Ir0.5,Ga,Ir,1
Ta0.5 Ir0.5,Ta,Ir,1
Ti0.5 Ir0.5,Ti,Ir,1
Ag0.5 Ir0.5,Ag,Ir,0
W0.5 Ir0.5,W,Ir,1
Mo0.5 Ir0.5,Mo,Ir,1
Zn0.5 Ir0.5,Zn,Ir,0
Re0.5 Ir0.5,Re,Ir,0
Tc0.5 Ir0.5,Tc,Ir,0
Fe0.5 Ir0.5,Fe,Ir,0
Ni0.5 Ir0.5,Ni,Ir,0
Be0.5 Ir0.5,Be,Ir,0
B0.5 Ir0.5,B,Ir,0
He0.5 Os0.5,He,Os,0
Ne0.5 Os0.5,Ne,Os,0
Kr0.5 Os0.5,Kr,Os,0
Cs0.5 Os0.5,Cs,Os,0
K0.5 Os0.5,K,Os,0
Ba0.5 Os0.5,Ba,Os,0
Yb0.5 Os0.5,Yb,Os,0
I0.5 Os0.5,I,Os,0
Br0.5 Os0.5,Br,Os,0
La0.5 Os0.5,La,Os,0
Ac0.5 Os0.5,Ac,Os,0
Bi0.5 Os0.5,Bi,Os,0
Nd0.5 Os0.5,Nd,Os,0
Te0.5 Os0.5,Te,Os,0
Gd0.5 Os0.5,Gd,Os,0
Y0.5 Os0.5,Y,Os,0
Th0.5 Os0.5,Th,Os,0
Tb0.5 Os0.5,Tb,Os,0
Er0.5 Os0.5,Er,Os,0
Tm0.5 Os0.5,Tm,Os,0
Tl0.5 Os0.5,Tl,Os,0
Pa0.5 Os0.5,Pa,Os,0
Hg0.5 Os0.5,Hg,Os,0
Np0.5 Os0.5,Np,Os,0
Pt0.5 Os0.5,Pt,Os,0
Zn0.5 Os0.5,Zn,Os,0
Pd0.5 Os0.5,Pd,Os,0
Ir0.5 Os0.5,Ir,Os,0
V0.5 Os0.5,V,Os,0
Rh0.5 Os0.5,Rh,Os,0
Cr0.5 Os0.5,Cr,Os,0
Co0.5 Os0.5,Co,Os,0
Be0.5 Os0.5,Be,Os,0
B0.5 Os0.5,B,Os,0
Ne0.5 V0.5,Ne,V,0
Rb0.5 V0.5,Rb,V,0
K0.5 V0.5,K,V,0
Eu0.5 V0.5,Eu,V,0
Ca0.5 V0.5,Ca,V,0
I0.5 V0.5,I,V,0
La0.5 V0.5,La,V,0
Ac0.5 V0.5,Ac,V,0
Ar0.5 V0.5,Ar,V,0
Bi0.5 V0.5,Bi,V,0
Pr0.5 V0.5,Pr,V,0
Sm0.5 V0.5,Sm,V,0
Pm0.5 V0.5,Pm,V,0
Y0.5 V0.5,Y,V,0
Th0.5 V0.5,Th,V,0
Tb0.5 V0.5,Tb,V,0
Ho0.5 V0.5,Ho,V,0
Pb0.5 V0.5,Pb,V,0
Tl0.5 V0.5,Tl,V,0
P0.5 V0.5,P,V,1
Sn0.5 V0.5,Sn,V,0
In0.5 V0.5,In,V,0
Sc0.5 V0.5,Sc,V,0
Pa0.5 V0.5,Pa,V,0
Hg0.5 V0.5,Hg,V,0
Zr0.5 V0.5,Zr,V,0
Mg0.5 V0.5,Mg,V,0
Ge0.5 V0.5,Ge,V,0
Cd0.5 V0.5,Cd,V,0
Ag0.5 V0.5,Ag,V,0
W0.5 V0.5,W,V,0
Ir0.5 V0.5,Ir,V,1
Rh0.5 V0.5,Rh,V,1
Fe0.5 V0.5,Fe,V,1
Ni0.5 V0.5,Ni,V,0
Be0.5 V0.5,Be,V,0
B0.5 V0.5,B,V,1
Ne0.5 Rh0.5,Ne,Rh,0
Ca0.5 Rh0.5,Ca,Rh,0
I0.5 Rh0.5,I,Rh,0
La0.5 Rh0.5,La,Rh,0
Ac0.5 Rh0.5,Ac,Rh,0
Ar0.5 Rh0.5,Ar,Rh,0
Pr0.5 Rh0.5,Pr,Rh,0
Ce0.5 Rh0.5,Ce,Rh,0
Sm0.5 Rh0.5,Sm,Rh,1
Te0.5 Rh0.5,Te,Rh,1
Gd0.5 Rh0.5,Gd,Rh,1
Th0.5 Rh0.5,Th,Rh,1
Tb0.5 Rh0.5,Tb,Rh,1
Dy0.5 Rh0.5,Dy,Rh,1
Er0.5 Rh0.5,Er,Rh,1
S0.5 Rh0.5,S,Rh,1
Sn0.5 Rh0.5,Sn,Rh,1
In0.5 Rh0.5,In,Rh,1
Pa0.5 Rh0.5,Pa,Rh,0
Zr0.5 Rh0.5,Zr,Rh,1
Mg0.5 Rh0.5,Mg,Rh,1
Li0.5 Rh0.5,Li,Rh,1
Si0.5 Rh0.5,Si,Rh,1
Ga0.5 Rh0.5,Ga,Rh,1
Ag0.5 Rh0.5,Ag,Rh,0
W0.5 Rh0.5,W,Rh,0
Pt0.5 Rh0.5,Pt,Rh,0
Zn0.5 Rh0.5,Zn,Rh,1
Ir0.5 Rh0.5,Ir,Rh,0
Mn0.5 Rh0.5,Mn,Rh,1
Cr0.5 Rh0.5,Cr,Rh,0
Co0.5 Rh0.5,Co,Rh,0
Ni0.5 Rh0.5,Ni,Rh,0
C0.5 Rh0.5,C,Rh,0
Be0.5 Rh0.5,Be,Rh,1
B0.5 Rh0.5,B,Rh,1
Kr0.5 Ru0.5,Kr,Ru,0
La0.5 Ru0.5,La,Ru,0
Ce0.5 Ru0.5,Ce,Ru,0
Sm0.5 Ru0.5,Sm,Ru,0
Te0.5 Ru0.5,Te,Ru,0
Pm0.5 Ru0.5,Pm,Ru,0
Y0.5 Ru0.5,Y,Ru,0
Tb0.5 Ru0.5,Tb,Ru,0
Dy0.5 Ru0.5,Dy,Ru,0
P0.5 Ru0.5,P,Ru,1
In0.5 Ru0.5,In,Ru,0
Sc0.5 Ru0.5,Sc,Ru,1
Pa0.5 Ru0.5,Pa,Ru,0
Hg0.5 Ru0.5,Hg,Ru,0
Cd0.5 Ru0.5,Cd,Ru,0
Li0.5 Ru0.5,Li,Ru,0
Ga0.5 Ru0.5,Ga,Ru,1
Np0.5 Ru0.5,Np,Ru,0
Ta0.5 Ru0.5,Ta,Ru,1
Nb0.5 Ru0.5,Nb,Ru,1
Pt0.5 Ru0.5,Pt,Ru,0
Pd0.5 Ru0.5,Pd,Ru,0
Tc0.5 Ru0.5,Tc,Ru,0
Os0.5 Ru0.5,Os,Ru,0
V0.5 Ru0.5,V,Ru,1
Rh0.5 Ru0.5,Rh,Ru,0
Mn0.5 Ru0.5,Mn,Ru,0
Cr0.5 Ru0.5,Cr,Ru,0
Fe0.5 Ru0.5,Fe,Ru,0
Co0.5 Ru0.5,Co,Ru,0
C0.5 Ru0.5,C,Ru,0
Ne0.5 Mn0.5,Ne,Mn,0
Cs0.5 Mn0.5,Cs,Mn,0
Ba0.5 Mn0.5,Ba,Mn,0
Sr0.5 Mn0.5,Sr,Mn,0
Eu0.5 Mn0.5,Eu,Mn,0
Yb0.5 Mn0.5,Yb,Mn,0
Br0.5 Mn0.5,Br,Mn,0
La0.5 Mn0.5,La,Mn,0
Xe0.5 Mn0.5,Xe,Mn,0
Nd0.5 Mn0.5,Nd,Mn,0
Y0.5 Mn0.5,Y,Mn,0
Tb0.5 Mn0.5,Tb,Mn,0
Dy0.5 Mn0.5,Dy,Mn,0
P0.5 Mn0.5,P,Mn,1
S0.5 Mn0.5,S,Mn,1
Sn0.5 Mn0.5,Sn,Mn,0
Sc0.5 Mn0.5,Sc,Mn,0
Pa0.5 Mn0.5,Pa,Mn,0
Zr0.5 Mn0.5,Zr,Mn,0
Ge0.5 Mn0.5,Ge,Mn,0
As0.5 Mn0.5,As,Mn,1
Li0.5 Mn0.5,Li,Mn,0
Si0.5 Mn0.5,Si,Mn,1
Ga0.5 Mn0.5,Ga,Mn,1
Ti0.5 Mn0.5,Ti,Mn,0
Pd0.5 Mn0.5,Pd,Mn,1
Tc0.5 Mn0.5,Tc,Mn,0
Ir0.5 Mn0.5,Ir,Mn,1
Os0.5 Mn0.5,Os,Mn,0
Cu0.5 Mn0.5,Cu,Mn,0
Ni0.5 Mn0.5,Ni,Mn,0
Be0.5 Mn0.5,Be,Mn,0
B0.5 Mn0.5,B,Mn,1
He0.5 Cr0.5,He,Cr,0
Kr0.5 Cr0.5,Kr,Cr,0
Cs0.5 Cr0.5,Cs,Cr,0
Sr0.5 Cr0.5,Sr,Cr,0
Br0.5 Cr0.5,Br,Cr,0
Na0.5 Cr0.5,Na,Cr,0
Ar0.5 Cr0.5,Ar,Cr,0
Te0.5 Cr0.5,Te,Cr,0
Pm0.5 Cr0.5,Pm,Cr,0
Th0.5 Cr0.5,Th,Cr,0
Dy0.5 Cr0.5,Dy,Cr,0
Sb0.5 Cr0.5,Sb,Cr,0
Tm0.5 Cr0.5,Tm,Cr,0
Lu0.5 Cr0.5,Lu,Cr,0
S0.5 Cr0.5,S,Cr,0
Sn0.5 Cr0.5,Sn,Cr,0
In0.5 Cr0.5,In,Cr,0
Sc0.5 Cr0.5,Sc,Cr,0
Mg0.5 Cr0.5,Mg,Cr,0
Ga0.5 Cr0.5,Ga,Cr,0
Ag0.5 Cr0.5,Ag,Cr,0
W0.5 Cr0.5,W,Cr,0
Pd0.5 Cr0.5,Pd,Cr,0
Ir0.5 Cr0.5,Ir,Cr,0
Co0.5 Cr0.5,Co,Cr,0
Ni0.5 Cr0.5,Ni,Cr,0
He0.5 Cu0.5,He,Cu,0
Kr0.5 Cu0.5,Kr,Cu,0
Cs0.5 Cu0.5,Cs,Cu,0
Yb0.5 Cu0.5,Yb,Cu,1
I0.5 Cu0.5,I,Cu,1
Na0.5 Cu0.5,Na,Cu,0
Xe0.5 Cu0.5,Xe,Cu,0
Ce0.5 Cu0.5,Ce,Cu,0
Gd0.5 Cu0.5,Gd,Cu,1
Lu0.5 Cu0.5,Lu,Cu,0
P0.5 Cu0.5,P,Cu,0
Sn0.5 Cu0.5,Sn,Cu,1
Sc0.5 Cu0.5,Sc,Cu,1
Zr0.5 Cu0.5,Zr,Cu,0
Mg0.5 Cu0.5,Mg,Cu,0
Ge0.5 Cu0.5,Ge,Cu,0
Nb0.5 Cu0.5,Nb,Cu,0
Ag0.5 Cu0.5,Ag,Cu,0
Al0.5 Cu0.5,Al,Cu,1
Pt0.5 Cu0.5,Pt,Cu,1
Re0.5 Cu0.5,Re,Cu,0
Ir0.5 Cu0.5,Ir,Cu,0
Os0.5 Cu0.5,Os,Cu,0
Rh0.5 Cu0.5,Rh,Cu,0
He0.5 Fe0.5,He,Fe,0
Cs0.5 Fe0.5,Cs,Fe,0
Rb0.5 Fe0.5,Rb,Fe,0
K0.5 Fe0.5,K,Fe,0
I0.5 Fe0.5,I,Fe,0
Ac0.5 Fe0.5,Ac,Fe,0
Bi0.5 Fe0.5,Bi,Fe,0
Pr0.5 Fe0.5,Pr,Fe,0
Nd0.5 Fe0.5,Nd,Fe,0
Pm0.5 Fe0.5,Pm,Fe,0
Gd0.5 Fe0.5,Gd,Fe,0
Y0.5 Fe0.5,Y,Fe,0
Ho0.5 Fe0.5,Ho,Fe,0
Pb0.5 Fe0.5,Pb,Fe,0
Tm0.5 Fe0.5,Tm,Fe,0
Lu0.5 Fe0.5,Lu,Fe,0
P0.5 Fe0.5,P,Fe,1
Sn0.5 Fe0.5,Sn,Fe,0
In0.5 Fe0.5,In,Fe,0
Sc0.5 Fe0.5,Sc,Fe,0
Hg0.5 Fe0.5,Hg,Fe,0
Ge0.5 Fe0.5,Ge,Fe,1
Li0.5 Fe0.5,Li,Fe,0
U0.5 Fe0.5,U,Fe,0
Si0.5 Fe0.5,Si,Fe,1
Ga0.5 Fe0.5,Ga,Fe,0
Np0.5 Fe0.5,Np,Fe,0
Ta0.5 Fe0.5,Ta,Fe,0
Al0.5 Fe0.5,Al,Fe,1
W0.5 Fe0.5,W,Fe,0
Mo0.5 Fe0.5,Mo,Fe,1
Pt0.5 Fe0.5,Pt,Fe,1
Zn0.5 Fe0.5,Zn,Fe,0
Pd0.5 Fe0.5,Pd,Fe,0
Tc0.5 Fe0.5,Tc,Fe,0
Os0.5 Fe0.5,Os,Fe,0
Mn0.5 Fe0.5,Mn,Fe,0
Ni0.5 Fe0.5,Ni,Fe,1
C0.5 Fe0.5,C,Fe,0
He0.5 Co0.5,He,Co,0
Cs0.5 Co0.5,Cs,Co,0
Rb0.5 Co0.5,Rb,Co,0
K0.5 Co0.5,K,Co,0
Ba0.5 Co0.5,Ba,Co,0
Sr0.5 Co0.5,Sr,Co,0
Yb0.5 Co0.5,Yb,Co,0
Br0.5 Co0.5,Br,Co,0
Na0.5 Co0.5,Na,Co,0
La0.5 Co0.5,La,Co,0
Ar0.5 Co0.5,Ar,Co,0
Bi0.5 Co0.5,Bi,Co,0
Nd0.5 Co0.5,Nd,Co,0
Pm0.5 Co0.5,Pm,Co,0
Gd0.5 Co0.5,Gd,Co,0
Y0.5 Co0.5,Y,Co,1
Tb0.5 Co0.5,Tb,Co,0
Dy0.5 Co0.5,Dy,Co,0
Ho0.5 Co0.5,Ho,Co,0
Pb0.5 Co0.5,Pb,Co,0
Sb0.5 Co0.5,Sb,Co,1
Tm0.5 Co0.5,Tm,Co,0
Lu0.5 Co0.5,Lu,Co,0
Pa0.5 Co0.5,Pa,Co,0
Zr0.5 Co0.5,Zr,Co,1
Ge0.5 Co0.5,Ge,Co,1
As0.5 Co0.5,As,Co,1
Li0.5 Co0.5,Li,Co,0
Ga0.5 Co0.5,Ga,Co,1
Np0.5 Co0.5,Np,Co,0
Ta0.5 Co0.5,Ta,Co,0
Nb0.5 Co0.5,Nb,Co,1
Ag0.5 Co0.5,Ag,Co,0
Al0.5 Co0.5,Al,Co,1
Pt0.5 Co0.5,Pt,Co,1
Tc0.5 Co0.5,Tc,Co,0
Ir0.5 Co0.5,Ir,Co,0
Mn0.5 Co0.5,Mn,Co,0
Cu0.5 Co0.5,Cu,Co,0
Fe0.5 Co0.5,Fe,Co,1
C0.5 Co0.5,C,Co,0
Be0.5 Co0.5,Be,Co,1
B0.5 Co0.5,B,Co,1
K0.5 Ni0.5,K,Ni,0
I0.5 Ni0.5,I,Ni,0
Na0.5 Ni0.5,Na,Ni,0
La0.5 Ni0.5,La,Ni,0
Ac0.5 Ni0.5,Ac,Ni,0
Ar0.5 Ni0.5,Ar,Ni,0
Ce0.5 Ni0.5,Ce,Ni,1
Pm0.5 Ni0.5,Pm,Ni,0
Gd0.5 Ni0.5,Gd,Ni,1
Y0.5 Ni0.5,Y,Ni,1
Er0.5 Ni0.5,Er,Ni,1
Sb0.5 Ni0.5,Sb,Ni,1
Tl0.5 Ni0.5,Tl,Ni,0
S0.5 Ni0.5,S,Ni,1
